Manufacturer,Model,Month,Year,Km,Kw,Ps,Price,state,engine,Benz
BMW26,"""X6""",4,2016,27750,280,381,70999,0,1,no
BMW27,"""M6""",2,2013,32000,412,560,64900,0,1,no
BMW28,"""430d""",NA,2018,0,190,258,61790,1,0,no
BMW29,"""540d""",NA,2018,0,235,320,100100,1,0,no
BMW30,"""330i""",NA,2018,0,185,252,65800,1,1,no
BMW31,"""M4""",5,2015,26000,317,431,62490,0,1,no
BMW32,"""X5""",7,2014,63000,280,381,68800,0,1,no
BMW33,"""640i""",11,2013,100,235,320,64900,1,1,no
BMW34,"""X5""",11,2017,8000,230,313,84290,0,0,no
BMW35,"""X3""",11,2017,3500,140,190,62790,0,0,no
BMW36,"""X2""",3,2018,999,140,190,65555,0,0,no
BMW37,"""Z8""",6,2003,84211,280,381,275000,0,1,no
BMW38,"""420d""",NA,2018,0,140,190,60630,1,0,no
BMW39,"""740d""",1,2016,3750,235,320,69900,0,0,no
BMW40,"""M550i""",11,2017,1801,340,462,112250,0,1,no
BMW41,"""630""",10,2017,8000,195,265,81582,0,0,no
BMW42,"""M6""",3,2016,5174,412,560,79990,0,1,no
BMW43,"""M4""",3,2017,18617,331,450,69204,0,1,no
BMW44,"""X5""",8,2017,4125,230,313,72578,0,0,no
BMW45,"""320d""",NA,2018,0,140,190,63020,1,0,no
BMW46,"""M3""",3,2017,25250,317,431,61990,0,1,no
BMW47,"""M3""",3,2017,25036,317,431,62343,0,1,no
BMW48,"""X5""",3,2017,13322,423,575,97439,0,1,no
BMW49,"""530d""",2,2017,8500,195,265,60900,0,0,no
BMW50,"""X4""",10,2017,8000,265,360,69634,0,1,no
BMW51,"""M5""",3,2018,1,441,600,170000,1,1,no
BMW52,"""X5""",2,2017,30000,230,313,65899,0,0,no
BMW53,"""630d""",3,2018,1001,195,265,86900,0,0,no
BMW54,"""640""",11,2017,9110,235,320,80300,0,0,no
BMW55,"""i8""",8,2014,27503,170,231,83900,0,1,no
BMW56,"""BMW""",1,1990,72996,173,235,119950,0,0,no
BMW57,"""730d""",1,2017,22000,195,265,65500,0,0,no
BMW58,"""730""",NA,NA,5,195,265,92600,1,0,no
BMW59,"""X5""",1,2017,18500,190,258,62350,0,0,no
BMW60,"""M760""",1,2017,8645,448,609,131900,0,1,no
BMW61,"""M4""",NA,2018,5,331,450,90120,1,1,no
BMW62,"""430""",NA,2018,8,190,258,75970,1,0,no
BMW63,"""X6""",10,2016,14588,190,258,64141,0,0,no
BMW64,"""X4""",NA,2018,0,190,258,72620,1,0,no
BMW65,"""M6""",7,2014,36173,412,560,71403,0,1,no
BMW66,"""640""",10,2017,8000,250,340,90190,0,1,no
BMW67,"""530""",1,2018,8000,195,265,63813,0,0,no
BMW68,"""X6""",5,2017,4255,230,313,67900,0,0,no
BMW69,"""X3""",10,2017,9900,195,265,78790,0,0,no
BMW70,"""M4""",11,2017,5500,331,450,78900,0,1,no
BMW71,"""X5""",4,2017,7492,280,381,76990,0,1,no
BMW72,"""X5""",1,2018,5,190,258,72210,1,0,no
BMW73,"""750i""",5,2016,33000,330,449,69990,0,1,no
BMW74,"""X6""",8,2017,4142,280,381,79900,0,1,no
BMW75,"""730d""",7,2016,33100,195,265,71650,0,0,no
BMW76,"""M4""",3,2017,19000,331,450,79990,0,1,no
BMW77,"""M6""",3,2017,4600,441,600,91500,0,1,no
BMW78,"""740d""",7,2016,16759,235,320,75499,0,0,no
BMW79,"""M5""",4,2016,36470,412,560,63500,0,1,no
BMW80,"""X5""",NA,2018,0,190,258,84310,1,0,no
BMW81,"""M3""",5,2017,15294,331,450,71855,0,1,no
BMW82,"""X5""",1,2018,1500,190,258,80880,0,0,no
BMW83,"""750i""",NA,2018,5,330,449,109500,1,1,no
BMW84,"""X5""",NA,2018,0,190,258,81990,1,0,no
BMW85,"""X3""",NA,2018,1100,195,265,85390,0,0,no
BMW86,"""750Li""",6,2017,4800,330,449,108000,0,1,no
BMW87,"""M4""",3,2017,7420,317,431,64303,0,1,no
BMW88,"""X6""",11,2017,8000,190,258,76827,0,0,no
BMW89,"""540i""",10,2017,11164,250,340,61480,0,1,no
